strategy,lammps,amg,kripke,laghos
S8,2302.84,2179.00,2560.62,3601.15
S8,2298.81,2186.12.2,2564.29,3587.63
S8,2305.1,2204.21,2563.31,3586.29
S8,x,2201.3,2557.76,2908.18
S8,x,x,2557.34,x
S16,1050,1094.05,1285.48,1502.27
S16,1052.42,1112.17.82,1282.15,1498.11
S16,1045.23,1108.43,1282.96,1500.62
S16,x,1111.08,1283.64,x
S16,x,x,1284.13,x
S32,556,550.61,645.35,852.32
S32,559.5,556.03,645.02,845.85
S32,551.4,557.57,644.37,857.73
S32,560.13,565.79,641.73,846.11
S32,552.46,560.01,642.86,x
S64,333,325.79,385.77,435.34
S64,335.45,337.08,385.38,434.53
S64,329.27,330.75,387.1,433.73
S64,330.51,334.68,387.34,504.54
S64,337.73,333.78,386.51,504.88
F,2295.29,2187.64,2559.71,4187.11
F,2300.91,2189.13,2558.14,3870.25
F,2291.37,2201.42,2561.2,3781.26
F,x,2217.66,2560.13,x
F,x,2194.82,x,x
W,707.97,538.94,640.12,789.14
W,712.1,541.25,640.3,892.5
W,705.6,539.58,684.7,823.03
W,x,645.28,716.27,x
W,x,x,712.7,x
