strategies,total_duration(s),starting_instances,new_instances_launched_time,new_instances_launched,total_instances,total_cost(dollar)
LAMMPS_S8,2302.84,8,x,x,x,8.72
LAMMPS_S8,2298.81,8,x,x,x,8.6
LAMMPS_S8,2305.1,8,x,x,x,8.62
AMG_S8,2179.00,8,x,x,x,8.15
AMG_S8,2186.12,8,x,x,x,8.18
AMG_S8,2204.21,8,x,x,x,8.24
AMG_S8,2201.3,8,x,x,x,8.23
Kripke_S8,2560.62,8,x,x,x,9.58
Kripke_S8,2564.29,8,x,x,x,9.59
Kripke_S8,2563.31,8,x,x,x,9.59
Kripke_S8,2557.76,8,x,x,x,9.57
Kripke_S8,2557.34,8,x,x,x,9.57
Laghos_S8,3601.15,8,x,x,x,13.47
Laghos_S8,3587.63,8,x,x,x,13.42
Laghos_S8,3586.29,8,x,x,x,13.41
Laghos_S8,2908.18,8,x,x,x,10.88
LAMMPS_S16,1050,16,x,x,x,7.85
LAMMPS_S16,1052.42,16,x,x,x,7.87
LAMMPS_S16,1045.23,16,x,x,x,7.82
AMG_S16,1094.05,16,x,x,x,8.18
AMG_S16,1112.17,16,x,x,x,8.32
AMG_S16,1108.43,16,x,x,x,8.29
AMG_S16,1111.08,16,x,x,x,8.31
Kripke_S16,1285.48,16,x,x,x,9.62
Kripke_S16,1282.15,16,x,x,x,9.59
Kripke_S16,1282.96,16,x,x,x,9.6
Kripke_S16,1283.64,16,x,x,x,9.6
Kripke_S16,1284.13,16,x,x,x,9.61
Laghos_S16,1502.27,16,x,x,x,11.24
Laghos_S16,1498.11,16,x,x,x,11.21
Laghos_S16,1500.62,16,x,x,x,11.23
LAMMPS_S32,556,32,x,x,x,8.32
LAMMPS_S32,559.5,32,x,x,x,8.38
LAMMPS_S32,551.4,32,x,x,x,8.25
LAMMPS_S32,560.13,32,x,x,x,8.38
LAMMPS_S32,552.46,32,x,x,x,8.27
AMG_S32,550.61,32,x,x,x,8.24
AMG_S32,556.03,32,x,x,x,8.32
AMG_S32,557.57,32,x,x,x,8.34
AMG_S32,565.79,32,x,x,x,8.47
AMG_S32,560.01,32,x,x,x,8.38
Kripke_S32,645.35,32,x,x,x,9.66
Kripke_S32,645.02,32,x,x,x,9.65
Kripke_S32,644.37,32,x,x,x,9.64
Kripke_S32,641.73,32,x,x,x,9.6
Kripke_S32,642.86,32,x,x,x,9.62
Laghos_S32,852.32,32,x,x,x,12.75
Laghos_S32,845.85,32,x,x,x,12.66
Laghos_S32,857.73,32,x,x,x,12.83
Laghos_S32,846.11,32,x,x,x,12.66
LAMMPS_S64,333,64,x,x,x,9.96
LAMMPS_S64,335.45,64,x,x,x,10.04
LAMMPS_S64,329.27,64,x,x,x,9.85
LAMMPS_S64,330.51,64,x,x,x,9.89
LAMMPS_S64,337.73,64,x,x,x,10.10
AMG_S64,325.79,64,x,x,x,9.75
AMG_S64,337.03,64,x,x,x,10.09
AMG_S64,330.75,64,x,x,x,9.9
AMG_S64,334.68,64,x,x,x,10.01
AMG_S64,333.78,64,x,x,x,9.99
Kripke_S64,385.77,64,x,x,x,11.54
Kripke_S64,385.38,64,x,x,x,11.53
Kripke_S64,387.1,64,x,x,x,11.58
Kripke_S64,387.34,64,x,x,x,11.59
Kripke_S64,386.51,64,x,x,x,11.57
Laghos_S64,435.34,64,x,x,x,13.03
Laghos_S64,434.53,64,x,x,x,13.00
Laghos_S64,433.73,64,x,x,x,12.98
Laghos_S64,504.54,64,x,x,x,15.1
Laghos_S64,504.88,64,x,x,x,15.1
LAMMPS_F,2295.29,8,50.3,2,10,10.68
LAMMPS_F,2300.91,8,50.81,2,10,10.71
LAMMPS_F,2291.37,8,50.18,2,10,10.67
AMG_F,2187.64,8,50.32,2,10,10.18
AMG_F,2189.13,8,50.46,2,10,10.2
AMG_F,2201.42,8,50.34,2,10,10.25
AMG_F,2217.66,8,50.27,2,10,10.32
AMG_F,2194.82,8,50.65,2,10,10.21
Kripke_F,2559.71,8,50.38,2,10,11.92
Kripke_F,2558.14,8,50.4,2,10,11.91
Kripke_F,2561.2,8,50.63,2,10,11.93
Kripke_F,2560.13,8,50.56,2,10,11.92
Laghos_F,4187.11,8,50.82,2,10,19.53
Laghos_F,3870.25,8,50.46,2,10,18.05
Laghos_F,3781.26,8,50.61,2,10,17.63
LAMMPS_W,707.97,8,30.14,40,48,15.32
LAMMPS_W,712.1,8,30.58,40,48,15.41
LAMMPS_W,705.6,8,30.56,40,48,15.26
AMG_W,538.94,8,30.11,40,48,11.53
AMG_W,541.25,8,30.61,40,48,11.57
AMG_W,539.58,8,30.13,40,48,11.55
AMG_W,645.28,8,30.25,40,48,13.92
Kripke_W,640.12,8,30.25,40,48,13.8
Kripke_W,640.3,8,30.41,40,48,13.8
Kripke_W,684.7,8,30.46,40,48,14.8
Kripke_W,716.27,8,30.28,40,48,15.51
Kripke_W,712.7,8,30.25,40,48,15.43
Laghos_W,789.14,8,30.14,40,48,17.15
Laghos_W,892.5,8,30.28,40,48,19.46
Laghos_W,823.03,8,30.32,40,48,17.9
equation=(((runtime - duration) * new_total + duration * initial) / 3600) * cost_per_hour
