strategies,total_duration(s),starting_instances,new_instances_launched_time,new_instances_launched,total_instances,total_cost(dollar)
S8,1278.5,8,x,x,x,4.78
S8,1318.01,8,x,x,x,4.93
S8,1310.63,8,x,x,x,4.9
S16,646.8,16,x,x,x,4.84
S16,642.65,16,x,x,x,4.81
S16,652.1,16,x,x,x,4.88
S32,344.9,32,x,x,x,5.16
S32,340.38,32,x,x,x,5.09
S32,324.21,32,x,x,x,4.85
S64,191.4,64,x,x,x,5.73
S64,198.87,64,x,x,x,5.95
S64,200.4,64,x,x,x,6.0
F,1303.8,8,51.5,2,10,6.05
F,1280.6,8,50.6,2,10,5.94
F,1315.1,8,50.12,2,10,6.1
W,383.97,8,30.4,40,48,8.05
W,375.4,8,30.6,40,48,7.85
W,393.4,8,30.8,40,48,8.25
