operation,time
delete_worker,152.369
delete_worker,182.561
delete_worker,182.681
delete_worker,182.439
delete_worker,152.128
delete_worker,183.028
delete_worker,183.334
delete_worker,152.672
delete_worker,154.055
delete_worker,155.768
delete_worker,183.877
delete_worker,155.828
delete_worker,182.969
delete_worker,182.6
delete_worker,182.807
delete_vpc,92.784
delete_vpc,122.604
delete_vpc,125.283
delete_vpc,122.101
delete_vpc,122.203
delete_vpc,92.045
delete_vpc,122.595
delete_vpc,123.476
delete_vpc,128.884
delete_vpc,159.881
delete_vpc,122.044
delete_vpc,122.024
delete_vpc,122.019
delete_vpc,121.989
delete_vpc,122.045
delete_cluster,91.298
delete_cluster,91.277
delete_cluster,61.339
delete_cluster,91.394
delete_cluster,61.73
delete_cluster,92.51
delete_cluster,153.318
delete_cluster,424.843
delete_cluster,452.845
delete_cluster,572.69
delete_cluster_total,335.463
delete_cluster_total,395.884
delete_cluster_total,336.005
delete_cluster_total,395.705
delete_cluster_total,335.511
delete_cluster_total,366.467
delete_cluster_total,367.659
delete_cluster_total,337.539
delete_cluster_total,375.449
delete_cluster_total,468.967
delete_cluster_total,701.504
delete_cluster_total,761.097
delete_cluster_total,366.188
