components,time(s)
delete_vpc,152.369
delete_vpc,182.561
delete_vpc,182.681
delete_vpc,182.439
delete_vpc,152.128
delete_vpc,183.028
delete_vpc,183.334
delete_vpc,152.672
delete_vpc,154.055
delete_vpc,155.768
delete_vpc,183.877
delete_vpc,155.828
delete_vpc,182.969
delete_vpc,182.6
delete_vpc,182.807
delete_worker,92.784
delete_worker,122.604
delete_worker,125.283
delete_worker,122.101
delete_worker,122.203
delete_worker,92.045
delete_worker,122.595
delete_worker,123.476
delete_worker,128.884
delete_worker,159.881
delete_worker,122.044
delete_worker,122.024
delete_worker,122.019
delete_worker,121.989
delete_worker,122.045
delete_cluster,91.298
delete_cluster,91.277
delete_cluster,61.339
delete_cluster,91.394
delete_cluster,61.73
delete_cluster,92.51
delete_cluster,153.318
delete_cluster,424.843
delete_cluster,452.845
delete_cluster,572.69
delete_cluster_total,335.463
delete_cluster_total,395.884
delete_cluster_total,336.005
delete_cluster_total,395.705
delete_cluster_total,335.511
delete_cluster_total,366.467
delete_cluster_total,367.659
delete_cluster_total,337.539
delete_cluster_total,375.449
delete_cluster_total,468.967
delete_cluster_total,701.504
delete_cluster_total,761.097
delete_cluster_total,366.188
