scale_up,time
4,78.447
8,46.615
12,41.834
16,46.929
20,42.392
24,43.982
28,42.109
32,41.936
36,44.426
40,47.972
44,53.247
48,42.276
52,46.594
56,50.345
60,69.462
64,57.545
4,72.474
8,62.208
12,46.468
16,41.704
20,50.368
24,50.483
28,44.133
32,48.227
36,48.863
40,44.327
44,47.703
48,41.792
52,69.944
56,56.113
60,45.629
64,49.111
4,75.452
8,45.249
12,43.925
16,48.231
20,44.134
24,41.919
28,42.427
32,55.736
36,48.514
40,47.129
44,48.655
48,46.728
52,52.769
56,49.683
60,44.487
64,62.279
4,76.229
8,46.472
12,49.245
16,41.736
20,41.398
24,87.535
28,44.593
32,49.053
36,44.893
40,45.217
44,48.107
48,54.569
52,45.216
56,46.647
60,47.408
64,41.444
4,77.798
8,42.23
12,41.492
16,46.593
20,48.921
24,50.84
28,44.37
32,65.796
36,51.344
40,49.543
44,47.93
48,46.384
52,48.287
56,43.286
60,56.162
64,69.151
